title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,react,angular,java,teamwork,javascript,kubernetes,problem solving,leadership,aws,communication,sql,tensorflow,pytorch,azure,python,docker
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Docker, Azure, React and TensorFlow. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in docker azure react and tensorflow the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'azure', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.658864,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in C#, Kubernetes, Java, Agile and Teamwork. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in c kubernetes java agile and teamwork the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.660610,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in PyTorch, C#, AWS, Communication and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in pytorch c aws communication and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.661122,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Docker, Teamwork, TensorFlow, Angular and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in docker teamwork tensorflow angular and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.661122,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in Leadership, Teamwork, Communication, Node.js, React, Docker and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in leadership teamwork communication node js react docker and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.661122,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in Teamwork, Kubernetes and Docker. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in teamwork kubernetes and docker the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.661122,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Leadership, Python, C++, Node.js and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in leadership python c node js and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.662372,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in JavaScript, Agile, C#, SQL, React, Docker and Kubernetes. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in javascript agile c sql react docker and kubernetes the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.662372,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in Kubernetes, Agile, Communication, Problem Solving and Angular. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in kubernetes agile communication problem solving and angular the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'kubernetes', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.662372,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in Agile, Teamwork, Angular, Node.js and Java. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:16:24.387704,we are looking for a data scientist with experience in agile teamwork angular node js and java the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.663373,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
