title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,teamwork,angular,kubernetes,sql,azure,leadership,aws,python,communication,react,docker,problem solving,javascript,java,tensorflow,pytorch
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in React, Communication, Teamwork, Kubernetes and Leadership. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in react communication teamwork kubernetes and leadership the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'kubernetes', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.313635,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in AWS, Node.js and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in aws node js and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.313635,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in Java, PyTorch, AWS, Kubernetes, Communication, Agile, SQL and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in java pytorch aws kubernetes communication agile sql and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.313635,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in TensorFlow, Leadership, Python, React, SQL, Azure and C#. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in tensorflow leadership python react sql azure and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.314634,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in C++, Python, TensorFlow, Agile, AWS, Teamwork, Docker and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in c python tensorflow agile aws teamwork docker and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.314634,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Node.js, Kubernetes and Leadership. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in node js kubernetes and leadership the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.314634,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in SQL, Agile, PyTorch and Azure. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in sql agile pytorch and azure the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.315635,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Teamwork, Communication, Docker, C++, Node.js, Kubernetes and C#. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in teamwork communication docker c node js kubernetes and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.315635,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Kubernetes, Agile and AWS. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in kubernetes agile and aws the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.315635,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in Communication, React, Node.js and AWS. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in communication react node js and aws the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.316636,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in Communication, C++, Java, React, Azure and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in communication c java react azure and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.316636,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in TensorFlow, PyTorch, SQL, Java, Problem Solving, Communication and Azure. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in tensorflow pytorch sql java problem solving communication and azure the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.316636,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in React, SQL and Teamwork. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in react sql and teamwork the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.317927,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in JavaScript, C#, React, Problem Solving, PyTorch, Python and Java. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:18:57.234724,we are looking for a data scientist with experience in javascript c react problem solving pytorch python and java the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T09:16:25.317927,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1
