title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,tensorflow,teamwork,azure,problem solving,communication,docker,angular,kubernetes,leadership,react,javascript,aws,pytorch,java,python,sql
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Azure, Python, PyTorch and Agile. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in azure python pytorch and agile the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.644826,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Docker, Java, Communication, SQL, JavaScript, Python and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in docker java communication sql javascript python and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.644826,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in Python, Java, Leadership, TensorFlow, Angular, AWS, Communication and Agile. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in python java leadership tensorflow angular aws communication and agile the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in Azure, SQL, Python, Node.js and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in azure sql python node js and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in TensorFlow, Kubernetes, Leadership, Teamwork, AWS and Java. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in tensorflow kubernetes leadership teamwork aws and java the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in PyTorch, Communication and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in pytorch communication and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in SQL, C++, C# and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in sql c c and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Python, Agile, AWS, Azure and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in python agile aws azure and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in JavaScript, Angular, Kubernetes, Problem Solving and Agile. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in javascript angular kubernetes problem solving and agile the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in JavaScript, Teamwork, Angular and React. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in javascript teamwork angular and react the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Communication, Python, C#, Docker and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in communication python c docker and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in C#, Docker, TensorFlow, AWS, JavaScript, Angular, Azure and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in c docker tensorflow aws javascript angular azure and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in Agile, Leadership, React, Docker, C#, TensorFlow and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T09:14:23.884385,we are looking for a data scientist with experience in agile leadership react docker c tensorflow and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.650841,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
