title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,kubernetes,sql,docker,angular,leadership,javascript,aws,azure,react,pytorch,problem solving,java,tensorflow,python,communication,teamwork
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in Problem Solving, C++ and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in problem solving c and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.682672,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in Node.js, TensorFlow, SQL, PyTorch, React, Leadership, Angular and Java. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in node js tensorflow sql pytorch react leadership angular and java the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.682672,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in C++, SQL, React and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in c sql react and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.682672,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Agile, TensorFlow, PyTorch, Python, JavaScript and AWS. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in agile tensorflow pytorch python javascript and aws the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.682672,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Kubernetes, React, Agile, Problem Solving, Docker and C#. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in kubernetes react agile problem solving docker and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.682672,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in Docker, TensorFlow, Teamwork, Agile, C#, Node.js, Communication and AWS. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in docker tensorflow teamwork agile c node js communication and aws the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.684678,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in SQL, React, C#, Azure, Problem Solving, AWS, Agile and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in sql react c azure problem solving aws agile and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.684678,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in TensorFlow, Java, Leadership, React, Azure, Communication, Kubernetes and C#. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in tensorflow java leadership react azure communication kubernetes and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.684678,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Node.js, AWS, Problem Solving, C++, PyTorch, Java and Communication. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in node js aws problem solving c pytorch java and communication the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.684678,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in SQL, Problem Solving and Kubernetes. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in sql problem solving and kubernetes the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.686684,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in PyTorch, Angular, Docker and Leadership. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in pytorch angular docker and leadership the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'docker', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.686684,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Node.js, Angular, Java, Problem Solving, Docker, AWS and Agile. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in node js angular java problem solving docker aws and agile the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.687189,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Problem Solving, AWS, C++, Java, Docker and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in problem solving aws c java docker and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.687189,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in SQL, Communication, Agile, Java, Teamwork, JavaScript, Python and Leadership. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in sql communication agile java teamwork javascript python and leadership the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.687189,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in SQL, C++, Communication, Python, Node.js, Kubernetes, Teamwork and Docker. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in sql c communication python node js kubernetes teamwork and docker the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.687189,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Angular, Python, SQL and Teamwork. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in angular python sql and teamwork the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.687189,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Docker, SQL, Angular, PyTorch, Communication, AWS, React and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in docker sql angular pytorch communication aws react and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.687189,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in JavaScript, TensorFlow, Communication and Teamwork. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in javascript tensorflow communication and teamwork the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.689202,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in Node.js, Agile, Problem Solving, TensorFlow and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:34:40.167448,we are looking for a data scientist with experience in node js agile problem solving tensorflow and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.689202,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
