title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,tensorflow,problem solving,pytorch,azure,teamwork,python,aws,angular,sql,java,communication,kubernetes,react,docker,javascript,leadership
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in JavaScript, Node.js, PyTorch, Java, Python and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in javascript node js pytorch java python and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.644826,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Node.js, Kubernetes, Agile, Docker, C++, React, SQL and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in node js kubernetes agile docker c react sql and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Node.js, C++, C#, Teamwork and Azure. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in node js c c teamwork and azure the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'azure', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Problem Solving, C++, Teamwork, Kubernetes, AWS, Docker, Azure and TensorFlow. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in problem solving c teamwork kubernetes aws docker azure and tensorflow the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'aws', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Angular, Teamwork, SQL, Azure and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in angular teamwork sql azure and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Python, AWS, Azure, React, C#, C++, Communication and JavaScript. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in python aws azure react c c communication and javascript the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in TensorFlow, React, JavaScript, Agile, Kubernetes, Python, Leadership and Azure. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in tensorflow react javascript agile kubernetes python leadership and azure the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.646831,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in C++, Teamwork, Angular, AWS, SQL, PyTorch, Python and JavaScript. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in c teamwork angular aws sql pytorch python and javascript the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in AWS, TensorFlow and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in aws tensorflow and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Kubernetes, Leadership and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in kubernetes leadership and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in Kubernetes, Communication, AWS, Agile, Docker, Java and Leadership. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in kubernetes communication aws agile docker java and leadership the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in C#, Leadership, React, Problem Solving, TensorFlow and Node.js. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in c leadership react problem solving tensorflow and node js the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'tensorflow', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in PyTorch, AWS, SQL and Angular. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:38:22.723421,we are looking for a data scientist with experience in pytorch aws sql and angular the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.648835,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0
