title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,angular,docker,teamwork,sql,communication,javascript,python,azure,aws,tensorflow,kubernetes,pytorch,problem solving,react,leadership,java
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in PyTorch, Teamwork and SQL. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in pytorch teamwork and sql the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.663373,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in Node.js, Python, JavaScript, C++, React, Agile and Communication. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in node js python javascript c react agile and communication the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.663373,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
data scientist,Software Dynamics,New York,"We are looking for a data scientist with experience in C#, TensorFlow, Angular, Communication, C++, Java, PyTorch and Problem Solving. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in c tensorflow angular communication c java pytorch and problem solving the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.663373,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Azure, Python, Teamwork, SQL and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in azure python teamwork sql and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.664573,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Problem Solving, C# and Azure. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in problem solving c and azure the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'azure', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.665573,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Kubernetes, Java, Communication, AWS, Leadership, Angular and Docker. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in kubernetes java communication aws leadership angular and docker the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.665573,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Teamwork, TensorFlow, Python, AWS, SQL and Agile. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in teamwork tensorflow python aws sql and agile the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Kubernetes, Communication, Angular, JavaScript, Node.js, Java, Docker and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in kubernetes communication angular javascript node js java docker and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'java', 'category': 'technical'}, {'name': 'javascript', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'kubernetes', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Communication, C++, Kubernetes and Leadership. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in communication c kubernetes and leadership the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'kubernetes', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in Leadership, React, Problem Solving, Azure and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T22:06:07.590135,we are looking for a data scientist with experience in leadership react problem solving azure and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'azure', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.667069,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0
