title,company,location,description,source,query,scraped_at,clean_description,skills,clean_title,scraped_date,processed_at,angular,docker,teamwork,sql,communication,javascript,python,aws,azure,tensorflow,kubernetes,pytorch,problem solving,react,leadership,java
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Python, SQL, Angular, Leadership and Teamwork. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.117989,we are looking for a data scientist with experience in python sql angular leadership and teamwork the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.631047,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in Leadership, SQL, C++, Problem Solving, PyTorch, Node.js and C#. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in leadership sql c problem solving pytorch node js and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'sql', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.631047,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0
data scientist,Data Solutions,New York,"We are looking for a data scientist with experience in Teamwork, JavaScript, Communication, Docker, C# and AWS. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in teamwork javascript communication docker c and aws the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.633051,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
data scientist,AI Research Labs,New York,"We are looking for a data scientist with experience in Teamwork, Angular, TensorFlow, Leadership, Problem Solving, Node.js, AWS and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in teamwork angular tensorflow leadership problem solving node js aws and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}, {'name': 'problem solving', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.633051,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
data scientist,Cloud Systems,New York,"We are looking for a data scientist with experience in Kubernetes, C#, Leadership and PyTorch. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in kubernetes c leadership and pytorch the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'kubernetes', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.633051,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
data scientist,Digital Platforms,New York,"We are looking for a data scientist with experience in Teamwork, C# and Python. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in teamwork c and python the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'teamwork', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.633051,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in JavaScript, TensorFlow, PyTorch, Agile, React, Communication, Docker and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in javascript tensorflow pytorch agile react communication docker and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'tensorflow', 'category': 'technical'}, {'name': 'pytorch', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.633051,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
data scientist,Tech Innovations,New York,"We are looking for a data scientist with experience in Python, SQL, Node.js, Leadership, C# and C++. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in python sql node js leadership c and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'python', 'category': 'technical'}, {'name': 'sql', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.635057,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
data scientist,Smart Analytics,New York,"We are looking for a data scientist with experience in Angular, Java, Communication and Docker. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in angular java communication and docker the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'java', 'category': 'technical'}, {'name': 'docker', 'category': 'technical'}, {'name': 'angular', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.635057,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
data scientist,Future Technologies,New York,"We are looking for a data scientist with experience in AWS, Leadership, C++, JavaScript, React and C#. The ideal candidate will have strong technical skills and excellent communication abilities. This role is based in New York and offers competitive compensation.",mock_data,data scientist,2025-04-17T08:32:53.119052,we are looking for a data scientist with experience in aws leadership c javascript react and c the ideal candidate will have strong technical skills and excellent communication abilities this role is based in new york and offers competitive compensation,"[{'name': 'javascript', 'category': 'technical'}, {'name': 'aws', 'category': 'technical'}, {'name': 'react', 'category': 'technical'}, {'name': 'communication', 'category': 'soft'}, {'name': 'leadership', 'category': 'soft'}]",data scientist,2025-04-17,2025-04-17T22:06:08.635057,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
